J034005.76+261147.0  55.0239796  26.1964007   24.1  -47.3 2.5 2.5 12.136 0.144 11.166 0.083 11.005  0.100 11.590  0.076 10.734  0.037  9.758 0.023  9.383 0.031  9.264 0.019 AAA  9.200 0.023  9.235 0.021  9.242 0.037    ---   --- 0.9895   5250  125  6.112e-01  1.1e-01
J034021.88+260419.4  55.0911770  26.0720436   17.1  -37.7 4.3 4.4 13.974 0.474 12.123 0.193 11.833  0.100 12.645  0.078 11.398  0.027 10.194 0.024  9.666 0.031  9.516 0.021 AAA  9.446 0.022  9.458 0.021  9.406 0.037  8.212 0.244 0.8288   4500  125  3.290e-01  6.3e-02
J034030.73+242914.1  55.1280323  24.4872526   19.9  -45.1 2.2 2.2 14.139 0.588 12.051 0.225 11.463  0.100 12.216  0.053 11.208  0.071 10.082 0.019  9.659 0.029  9.556 0.021 AAA  9.473 0.022  9.490 0.020  9.424 0.041    ---   --- 0.8626   5000  125  3.861e-01  7.4e-02
J034034.36+234057.4  55.1431559  23.6826033   19.8  -46.0 1.5 1.5 11.669 0.085 10.819 0.069 10.667  0.029 11.283  0.072 10.475  0.029  9.585 0.020  9.241 0.021  9.148 0.017 AAA  9.104 0.023  9.147 0.021  9.157 0.036    ---   --- 0.9959   5500  125  7.702e-01  1.4e-01
J034038.52+284617.8  55.1605183  28.7716226   21.0  -39.7 2.0 1.9  7.999 0.018  7.844 0.014    ---    ---    ---    ---    ---    ---  7.567 0.030  7.543 0.053  7.489 0.027 AAA  7.437 0.061  7.495 0.028  7.499 0.026  7.265 0.187 0.5400   8250  125  9.302e+00  1.5e+00
J034038.77+284624.0  55.1615325  28.7733326   20.5  -38.1 1.9 1.8  7.547 0.017  7.405 0.012    ---    ---    ---    ---    ---    ---  7.058 0.030  7.009 0.042  7.008 0.016 AAA  6.956 0.054  6.984 0.023  7.067 0.019  6.906 0.136 0.7177   8250  125  1.428e+01  2.4e+00
J034050.44+232506.5  55.2101571  23.4184655   21.5  -43.0 1.6 1.7 11.931 0.128 11.091 0.099 10.669  0.018 11.185  0.053 10.425  0.024  9.531 0.021  9.192 0.023  9.123 0.018 AAA  9.088 0.022  9.112 0.019  9.226 0.047    ---   --- 0.9680   5500  125  7.491e-01  1.3e-01
J034122.97+232913.0  55.3456942  23.4869391   22.3  -44.5 0.9 0.9  9.627 0.024  9.221 0.021  9.087  0.100    ---    ---  8.973  0.030  8.279 0.021  8.178 0.020  8.094 0.015 AAA  8.023 0.023  8.051 0.020  8.045 0.021  8.207 0.301 0.9965   6500  125  3.088e+00  5.3e-01
J034127.83+234229.9  55.3659405  23.7083102   18.7  -48.5 1.5 1.6 12.153 0.156 11.234 0.100 10.900  0.100 11.544  0.059 10.706  0.026  9.761 0.020  9.407 0.023  9.313 0.018 AAA  9.277 0.024  9.339 0.019  9.308 0.038    ---   --- 0.9846   5500  125  6.138e-01  1.1e-01
J034136.17+253709.6  55.4007156  25.6193285   21.1  -44.7 1.7 1.7 10.641 0.045 10.178 0.042  9.909  0.019 10.450  0.010  9.763  0.054  8.959 0.029  8.657 0.030  8.593 0.023 AAA  8.515 0.023  8.536 0.021  8.537 0.025  8.777 0.408 0.9995   5750  125  1.489e+00  2.5e-01
J034204.72+225130.8  55.5196723  22.8585580   21.1  -43.5 0.9 0.9  9.718 0.029  9.270 0.025  9.052  0.008    ---    ---    ---    ---  8.236 0.019  8.033 0.023  8.002 0.029 AAA  7.963 0.024  7.990 0.021  8.016 0.021  8.064 0.217 0.9961   6500  125  3.126e+00  5.2e-01
J034208.77+284749.0  55.5365433  28.7969379   16.0  -39.8 2.3 2.3 11.371 0.093 10.714 0.082 10.413  0.026 10.904  0.051 10.116  0.029  9.148 0.027  8.801 0.031  8.656 0.022 AAA  8.579 0.022  8.586 0.021  8.543 0.026  8.351 0.264 0.9070   5250  125  1.077e+00  1.9e-01
J034224.00+212824.6  55.5999886  21.4734906   23.3  -48.4 0.9 0.9 10.453 0.036  9.830 0.030  9.679  0.100 10.333  0.087  9.588  0.036  8.797 0.021  8.604 0.029  8.526 0.019 AAA  8.463 0.023  8.498 0.020  8.468 0.024  7.851 0.175 0.9913   6000  125  1.752e+00  3.1e-01
J034224.02+222516.1  55.6001018  22.4211271   20.4  -46.8 1.0 1.0 11.057 0.063 10.431 0.054 10.236  0.017 10.714  0.055  9.987  0.026  9.117 0.022  8.868 0.026  8.758 0.018 AAA  8.710 0.022  8.738 0.019  8.725 0.029  8.575 0.376 0.9951   5750  125  1.190e+00  2.0e-01
J034229.87+200859.9  55.6244529  20.1499860   19.4  -46.8 1.1 1.1  8.806 0.020  8.434 0.017    ---    ---    ---    ---    ---    ---  7.753 0.018  7.671 0.021  7.652 0.016 AAA  7.591 0.024  7.605 0.020  7.628 0.018  7.918 0.184 0.9982   7250  125  5.638e+00  9.3e-01
J034255.11+242935.1  55.7296434  24.4930762   19.9  -43.2 1.1 1.1  9.924 0.028  9.539 0.027  9.361  0.100 10.154  0.187  9.289  0.046  8.514 0.019  8.325 0.031  8.263 0.020 AAA  8.209 0.025  8.239 0.021  8.200 0.022  8.388 0.396 0.9976   6250  125  2.369e+00  4.3e-01
J034302.94+244011.1  55.7622643  24.6697591   21.8  -48.8 3.7 3.7 13.078 0.384 11.410 0.125 11.659  0.052 12.385  0.025 11.380  0.031 10.275 0.023  9.808 0.030  9.727 0.019 AAA  9.667 0.023  9.720 0.020  9.743 0.056    ---   --- 0.9304   5000  125  3.675e-01  7.2e-02
J034313.60+251612.7  55.8066595  25.2701839   14.9  -46.2 2.7 2.8 13.179 0.395 12.078 0.227 11.712  0.100 12.745  0.011 11.590  0.043 10.254 0.023  9.851 0.032  9.665 0.022 AAA  9.624 0.023  9.644 0.019  9.537 0.043  9.010 0.519 0.7308   4750  125  3.194e-01  6.5e-02
